"Position","Promotion","Discount Offer","Restaurant Name","Rating","Cuisines","Cost for Two","Location","Distance","Restaurant URL","Image URL","Zomato Gold Image"
50,,"Flat 15% OFF","Prabhu's",4.2,"Indian, North Indian, South Indian, Street Food","AED 110 for two","Mankhool, Dubai","15.1 km","https://www.zomato.com/dubai/prabhus-mankhool/info","https://b.zmtcdn.com/data/pictures/4/18793414/01a6640fe8a0f129955aa977cce95300_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
51,,"Flat 15% OFF","The Stables",4.1,"Finger Food, British","AED 245 for two","Trade Centre Area, Dubai","11.9 km","https://www.zomato.com/dubai/the-stables-trade-centre-area/info","https://b.zmtcdn.com/data/pictures/6/201566/b97301e2ac5f6422d609b0887e291e9a_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
52,,"Flat 20% OFF","WAWA Dining",4.7,"Asian, Japanese, Korean","AED 320 for two","Golden Tulip Al Barsha Hotel, Al Barsha, Dubai","4.1 km","https://www.zomato.com/dubai/wawa-dining-al-barsha/info","https://b.zmtcdn.com/data/pictures/6/19623756/a6ba8af9ae8cc9ce3cf4002609906a17_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
53,,"Flat 20% OFF","StrEat Culture - DoubleTree By Hilton Dubai Al Jaddaf",4.4,"International, Fast Food","AED 300 for two","DoubleTree by Hilton Dubai, Al Jaddaf, Dubai","14.8 km","https://www.zomato.com/dubai/streat-culture-doubletree-by-hilton-dubai-al-jaddaf-al-jaddaf/info","https://b.zmtcdn.com/data/pictures/2/19044592/c5b748b4dbaeb902f9c89eadf70c4120_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
54,,,"The Crossing",4.5,"Indian, Contemporary","AED 440 for two","The H Dubai, Trade Centre Area, Dubai","12.8 km","https://www.zomato.com/dubai/the-crossing-trade-centre-area/info","https://b.zmtcdn.com/data/pictures/9/20116179/28e6ca147bbc8a29033155c429d69bfb_featured_v2.jpg",
55,,,"Charsi & Shinwari and Koobideh Fusion",4.3,"Afghan, Iranian, Kebab","AED 120 for two","Nad Al Sheba, Dubai","7.6 km","https://www.zomato.com/dubai/charsi-shinwari-and-koobideh-fusion-nad-al-sheba/info","https://b.zmtcdn.com/data/pictures/0/21107310/143f8fb4aad75fbe86144bafdfd805ab_featured_v2.jpg",
56,,"Flat 20% OFF","Freddy's - Fortune Atrium Hotel",4.4,"Indian, Continental, Indo-Chinese, Fast Food, Steak","AED 250 for two","Fortune Atrium Hotel, Al Karama, Dubai","16 km","https://www.zomato.com/dubai/freddys-fortune-atrium-hotel-al-karama/info","https://b.zmtcdn.com/data/pictures/3/19479633/3724da29da2a6416f20ea92804d48687_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
57,,"Flat 25% OFF","Urban Bar & Kitchen - Mövenpick Hotel Jumeirah Lakes Towers",4.3,"International, Fast Food, Desserts, Beverages","AED 310 for two","Mövenpick Hotel Jumeirah Lakes Towers, Dubai","11.3 km","https://www.zomato.com/dubai/urban-bar-kitchen-m%C3%B6venpick-hotel-jumeirah-lakes-towers-jumeirah-lake-towers/info","https://b.zmtcdn.com/data/pictures/9/206809/98f266212e227ae45ef4374a5357c85c_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
58,,"Flat 15% OFF","Punjabi Dhaba","New","Indian","AED 100 for two","BurJuman Centre, Mankhool, Dubai","16 km","https://www.zomato.com/dubai/punjabi-dhaba-mankhool/info","https://b.zmtcdn.com/data/pictures/chains/3/18817083/de01b164121310a2d93fd214241d609f_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
59,,"Flat 15% OFF","Piccolo Mondo View",3.2,"Arabian, International","AED 265 for two","Trade Centre Area, Dubai","10.3 km","https://www.zomato.com/dubai/piccolo-mondo-view-1-trade-centre-area/info","https://b.zmtcdn.com/data/pictures/0/207040/93fe333be4f9a96db982ed29831fa296_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
60,,"Flat 15% OFF","Republic Adda Bar & Lounge",4.6,"Indian, Finger Food, Beverages","AED 315 for two","DoubleTree by Hilton Dubai - Business Bay, Dubai","8.4 km","https://www.zomato.com/dubai/republic-adda-bar-lounge-business-bay/info","https://b.zmtcdn.com/data/pictures/7/20145657/735d1b5cd797fa5bcd84e29a8a0485e5_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
61,,"Flat 25% OFF","The Barbeque Company",4.2,"Indian, BBQ, Grill, Kebab, North Indian","AED 132 for two","Al Hudaiba and Around, Dubai","13.3 km","https://www.zomato.com/dubai/the-barbeque-company-al-hudaiba-and-around/info","https://b.zmtcdn.com/data/pictures/6/20620006/87428298b4918021a2b569b84207b9bc_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
62,,"Flat 25% OFF","Sthan",4.2,"Biryani, North Indian, Pakistani, Mughlai, Afghan, Indian, Kebab","AED 155 for two","Al Karama, Dubai","15.6 km","https://www.zomato.com/dubai/sthan-al-karama/info","https://b.zmtcdn.com/data/pictures/3/18549283/9c4ceb80f78323fba38027bb74dff57d_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
63,,"Flat 10% OFF","Via Delhi",4.3,"Indian, North Indian, Mughlai, Chinese, Biryani, Fast Food, Beverages","AED 115 for two","Cluster H, Jumeirah Lake Towers, Dubai","10.6 km","https://www.zomato.com/dubai/via-delhi-jumeirah-lake-towers/info","https://b.zmtcdn.com/data/pictures/chains/9/18325009/269977b2fae0643da0121f1c713ea6a5_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
64,,"Flat 20% OFF","Hoy Punjab","New","Indian, North Indian","AED 110 for two","Al Karama, Dubai","15.7 km","https://www.zomato.com/dubai/hoy-punjab-al-karama/info","https://b.zmtcdn.com/data/pictures/6/21467906/40164c8d9e7eb5838e3b4fef1bda57ce_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
65,,"Flat 20% OFF","Apna Kabab Rolls",3.9,"North Indian, Pakistani, Kebab, Indo-Chinese","AED 65 for two","Al Barsha, Dubai","3.6 km","https://www.zomato.com/dubai/apna-kabab-rolls-al-barsha/info","https://b.zmtcdn.com/data/pictures/chains/5/202135/eed47c819e0a174ba5364929219d8e8b_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
66,,"Flat 25% OFF","Ushna",4.3,"Indian, Kebab, Street Food, Biryani, Desserts","AED 365 for two","Souk Madinat Jumeirah, Dubai","4.3 km","https://www.zomato.com/dubai/ushna-madinat-jumeirah/info","https://b.zmtcdn.com/data/pictures/chains/7/202337/73fb23014a8b07abf241657346eb6a3c_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
67,,,"Aroos Damascus",4.4,"Arabian, Middle Eastern, Kebab","AED 165 for two","Al Muraqqabat, Dubai","18.2 km","https://www.zomato.com/dubai/aroos-damascus-al-muraqqabat/info","https://b.zmtcdn.com/data/pictures/4/201824/e10a78a2526c347bede531bffa124118_featured_v2.jpg",
68,,"Flat 15% OFF","Bombay Basera",4.5,"Indian, North Indian, South Indian","AED 80 for two","Business Bay, Dubai","7.2 km","https://www.zomato.com/dubai/bombay-basera-business-bay/info","https://b.zmtcdn.com/data/pictures/0/20852390/ba612149ebb49a9c4e6de3488f469eb5_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
69,,"Flat 25% OFF","The Grandstand - Park Regis Kris Kin Hotel",4.5,"Pasta, Finger Food, Beverages, American, International, Drinks Only","AED 380 for two","Park Regis Kris Kin Hotel, Al Karama, Dubai","15.4 km","https://www.zomato.com/dubai/the-grandstand-park-regis-kris-kin-hotel-al-karama/info","https://b.zmtcdn.com/data/pictures/2/204452/604a34b3d93f785d8869edc2d24c470f_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
70,,,"Parker's",3.3,"International","AED 175 for two","Dubai Mall, Downtown Dubai, Dubai","9.1 km","https://www.zomato.com/dubai/parkers-2-downtown-dubai/info","https://b.zmtcdn.com/data/pictures/chains/6/18289126/a6946e6e7612671dde16a9ba05b7da29_featured_v2.jpg",
71,,"Flat 20% OFF","The Spice Tree",3.4,"Indian, International","AED 160 for two","DoubleTree by Hilton Dubai M Square Hotel & Residences, Mankhool, Dubai, Dubai","15.5 km","https://www.zomato.com/dubai/the-spice-tree-mankhool/info","https://b.zmtcdn.com/data/pictures/chains/1/19549151/7cdd97da8c27f27eb1061b67e7695abd_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
72,,"Flat 15% OFF","Zouzou Turkish & Lebanese",4.5,"Lebanese, Turkish","AED 305 for two","Jumeirah 1, Dubai","11.1 km","https://www.zomato.com/dubai/zouzou-turkish-lebanese-1-jumeirah-1/info","https://b.zmtcdn.com/data/pictures/chains/1/18564161/1bd758631f901bebf94d3a0572401ea8_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
73,,,"Shree Khodiyar Kathiyawadi Dhaba","New","Gujarati, Indian","AED 120 for two","Al Khaleej Centre, Mankhool, Dubai","15.9 km","https://www.zomato.com/dubai/shree-khodiyar-kathiyawadi-dhaba-mankhool/info","https://b.zmtcdn.com/data/pictures/9/21514089/bc1e5b0f35365e88612ce2656ca03b2d_featured_v2.jpg",
74,,,"Urth Caffe",4.6,"Cafe, International, Tea, Coffee","AED 185 for two","City Walk, Al Safa, Dubai","9.6 km","https://www.zomato.com/dubai/urth-caffe-1-al-safa/info","https://b.zmtcdn.com/data/pictures/1/18822921/f0f9d4d48954760ae2b815c4879f5c02_featured_v2.jpg",
75,,"Flat 10% OFF","Soy",3.9,"Chinese, Thai, Sushi","AED 200 for two","Dubai Mall, Downtown Dubai, Dubai","9.3 km","https://www.zomato.com/dubai/soy-downtown-dubai/info","https://b.zmtcdn.com/data/pictures/chains/2/202232/33d125d2a5a52f5000cf06ad57bf1475_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
76,,"Flat 25% OFF","Paros - Taj Jumeirah Lakes Towers",4.4,"Mediterranean","AED 330 for two","Taj Jumeirah Lakes Towers, Dubai","9.1 km","https://www.zomato.com/dubai/paros-taj-jumeirah-lakes-towers-jumeirah-lake-towers/info","https://b.zmtcdn.com/data/pictures/6/19273206/460110c174f8eaa7dcbec080d4d03b8c_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
77,,"Flat 20% OFF","Beirut Streets",4.4,"Lebanese, Middle Eastern, Street Food","AED 120 for two","Al Barsha, Dubai","3 km","https://www.zomato.com/dubai/beirut-streets-al-barsha/info","https://b.zmtcdn.com/data/pictures/5/20610795/fc549ead95ae72e2f6f8e020789919e5_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
78,,,"Banarasi Chaat & Kulfi Wala",4.2,"Street Food, Fast Food, North Indian, Desserts, Beverages","AED 75 for two","Al Karama, Dubai","14.2 km","https://www.zomato.com/dubai/banarasi-chaat-kulfi-wala-al-karama/info","https://b.zmtcdn.com/data/pictures/chains/7/18470987/9093c4144cc7d3767be1259f9d121186_featured_v2.jpg",
79,,"Flat 10% OFF","Masti – Cocktails & Cuisine",4.1,"Indian, Contemporary","AED 535 for two","The Dubai EDITION, Downtown Dubai, Dubai","8.9 km","https://www.zomato.com/dubai/masti-cocktails-cuisine-downtown-dubai/info","https://b.zmtcdn.com/data/pictures/5/20603025/1fce0e2f69f1e23ef61768c7d0d74b9c_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
80,,"Flat 20% OFF","59 Street Kitchen & Bar",3.9,"Indian, Asian, Thai","AED 150 for two","Donatello Hotel, Al Barsha, Dubai","3.7 km","https://www.zomato.com/dubai/59-street-kitchen-bar-al-barsha/info","https://b.zmtcdn.com/data/pictures/9/21476139/262e5e81d5c7106f9fd30c6185a3c357_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
81,,,"The Farm",4,"Mediterranean, International","AED 340 for two","Al Barari, Dubai","9.2 km","https://www.zomato.com/dubai/the-farm-al-barari/info","https://b.zmtcdn.com/data/pictures/1/202321/f86966944a952c875b25734644f84c89_featured_v2.jpg",
82,,"Flat 15% OFF","Eggiterian Cafe",4.8,"Indian, North Indian, Continental, Indo-Chinese","AED 70 for two","Cluster J, Jumeirah Lake Towers, Dubai","11 km","https://www.zomato.com/dubai/eggiterian-cafe-jumeirah-lake-towers/info","https://b.zmtcdn.com/data/pictures/2/19724662/19636f9b366508aff07f4e18ca471c78_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
83,,,"SALT",3.9,"Fast Food, Burger","AED 125 for two","Downtown Dubai, Dubai","9.1 km","https://www.zomato.com/dubai/salt-downtown-dubai/info","https://b.zmtcdn.com/data/pictures/chains/8/208778/7d3c48415e6a5eeaecad6f12c8cd93bc_featured_v2.jpg",
84,,"Flat 15% OFF","Happy Sunday Hot Pot & BBQ",3.9,"Chinese, Filipino, Hot Pot, BBQ","AED 115 for two","Al Karama, Dubai","15.7 km","https://www.zomato.com/dubai/happy-sunday-hot-pot-bbq-al-karama/info","https://b.zmtcdn.com/data/pictures/8/19358938/47bfcee3593314e9a9a0b0f3f7b68169_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
85,,"Flat 10% OFF","Chinese Village - Sea View Hotel",4.1,"Indo-Chinese, Thai","AED 280 for two","Sea View Hotel, Mankhool, Dubai","15.3 km","https://www.zomato.com/dubai/chinese-village-sea-view-hotel-mankhool/info","https://b.zmtcdn.com/data/pictures/chains/8/203948/218e7e555faac5a8b8dbebaea216fb28_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
86,,"Flat 25% OFF","Shabestan - Radisson Blu Hotel Dubai Deira Creek",4.2,"Iranian, Kebab","AED 450 for two","Radisson Blu Hotel Dubai Deira Creek, Baniyas, Dubai","17.4 km","https://www.zomato.com/dubai/shabestan-radisson-blu-hotel-dubai-deira-creek-baniyas/info","https://b.zmtcdn.com/data/pictures/2/200112/feefd14ef121bf07a06527b48a561ea7_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
87,,"Flat 20% OFF","Oregano",4.2,"Italian, Pizza, Pasta, Healthy Food","AED 180 for two","Dubai Silicon Oasis (DSO), Dubai","17.1 km","https://www.zomato.com/dubai/oregano-dubai-silicon-oasis-dso/info","https://b.zmtcdn.com/data/pictures/chains/9/203709/9198addf534debcc65a7abc4a8d701c5_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
88,,,"Brunch & Cake",4.2,"Cafe, International, Desserts","AED 240 for two","Wasl 51, Jumeirah 1, Dubai","10.5 km","https://www.zomato.com/dubai/brunch-cake-jumeirah-1/info","https://b.zmtcdn.com/data/pictures/chains/7/19132747/4ed1c3a3c07f44d6854be56a72f94b44_featured_v2.jpg",
89,,"Flat 10% OFF","Bengaluru Naati Mane Restaurant",4.3,"South Indian","AED 85 for two","Al Karama, Dubai","15.4 km","https://www.zomato.com/dubai/bengaluru-naati-mane-restaurant-al-karama/info","https://b.zmtcdn.com/data/pictures/1/20350241/e689123a6d9b9d8662fb9adf9ca91f91_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
90,,,"Salkara Restaurant",4.2,"Indian, South Indian, Kerala","AED 60 for two","Lulu Hypermarket, Al Qusais, Dubai","21.5 km","https://www.zomato.com/dubai/salkara-restaurant-qusais/info","https://b.zmtcdn.com/data/pictures/5/202155/849216a405db2d13d652b49fafd4180c_featured_v2.jpg",
91,,"Flat 20% OFF","Denny's",4.4,"American, Burger, Desserts","AED 230 for two","City Centre Deira, Deira City Centre Area, Dubai","17.4 km","https://www.zomato.com/dubai/dennys-deira-city-centre-area/info","https://b.zmtcdn.com/data/pictures/chains/7/208707/d76e30502fad4d5df536250174ba5ae6_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
92,,"Flat 10% OFF","San Wan Hand Pulled Noodles",4.7,"Chinese, Asian","AED 90 for two","Jumeirah Lake Towers (JLT), Dubai","10.6 km","https://www.zomato.com/dubai/san-wan-hand-pulled-noodles-jumeirah-lake-towers/info","https://b.zmtcdn.com/data/pictures/6/20672806/8c5d86638bb22bb24099d097b4d8a517_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
93,,"Flat 15% OFF","Manvaar",4.2,"Indian, North Indian, Rajasthani, Kebab","AED 110 for two","Al Karama, Dubai","14.3 km","https://www.zomato.com/dubai/manvaar-al-karama/info","https://b.zmtcdn.com/data/pictures/4/201944/2bd8691344768c857bd6cf5f2cd7fe12_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
94,,"Flat 15% OFF","Coffee & Roses",4.3,"Cafe, Coffee, Desserts, Mediterranean","AED 145 for two","Al Barsha, Dubai","3.1 km","https://www.zomato.com/dubai/coffee-roses-al-barsha/info","https://b.zmtcdn.com/data/pictures/1/21012861/68e61b53323a7920243f0cbbb0e77db6_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
95,,"Flat 10% OFF","My Govinda's",4,"Indian, North Indian, Healthy Food","AED 165 for two","Al Karama, Dubai","15.9 km","https://www.zomato.com/dubai/my-govindas-al-karama/info","https://b.zmtcdn.com/data/pictures/8/201608/c09f630da46331ee26b35df95715e3a7_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
96,,,"Seva Table",4.3,"Healthy Food, Cafe, Tea, Coffee","AED 215 for two","Jumeirah 1, Dubai","12 km","https://www.zomato.com/dubai/seva-table-jumeirah-1/info","https://b.zmtcdn.com/data/pictures/7/210017/d94b2db9d1d08819a97f6990e2e62a43_featured_v2.jpg",
97,,,"Al Ustad Special Kabab",4.5,"Kebab, Iranian","AED 90 for two","Mankhool, Dubai","16.3 km","https://www.zomato.com/dubai/al-ustad-special-kabab-mankhool/info","https://b.zmtcdn.com/data/pictures/6/202706/5c39534129584f2f7b6ecdce26bc14e1_featured_v2.jpg",
98,,"Flat 25% OFF","Zest Loungge",4.4,"Indian, Chinese, Kebab, Seafood, Desserts, Beverages","AED 300 for two","La Quinta by Wyndham, Mankhool, Dubai","14.5 km","https://www.zomato.com/dubai/zest-loungge-mankhool/info","https://b.zmtcdn.com/data/pictures/chains/6/20912876/9e4839b800baf1fb04910bca850f52a7_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
99,,"Flat 25% OFF","Argentina Grill",3.9,"Argentine, Grill, Latin American, Seafood, Salad, Steak, Desserts, Beverages","AED 400 for two","Vida Creek Harbour, Ras Al Khor, Dubai","14.5 km","https://www.zomato.com/dubai/argentina-grill-dubai-creek-harbour/info","https://b.zmtcdn.com/data/pictures/2/21180952/b99493a4d4496ecd274ee7baaab416f9_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
100,,,"P.F. Chang's - بي.ف. تشانغز",4.1,"Asian, Chinese","AED 280 for two","Dubai Mall, Downtown Dubai, Dubai","9.1 km","https://www.zomato.com/dubai/p-f-changs-downtown-dubai/info","https://b.zmtcdn.com/data/pictures/chains/6/200676/8b060d8609126f4d6094d8f266b169e1_featured_v2.jpg",
